1,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2185.jpg,0,[0, 8],[1.0000, 0.0000]
27,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4939.jpg,0,[0, 6],[1.0000, 0.0000]
28,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5126.jpg,0,[0, 4],[1.0000, 0.0000]
29,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3490.jpg,0,[0, 8],[0.9994, 0.0005]
30,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7436.jpg,0,[0, 8],[0.9957, 0.0043]
31,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7900.jpg,0,[0, 8],[1.0000, 0.0000]
32,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4784.jpg,0,[8, 0],[0.9990, 0.0010]
33,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7031.jpg,0,[0, 8],[0.9783, 0.0213]
34,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_27.jpg,0,[0, 4],[1.0000, 0.0000]
35,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6450.jpg,0,[0, 3],[0.9999, 0.0001]
36,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_496.jpg,0,[0, 8],[1.0000, 0.0000]
37,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7863.jpg,0,[0, 8],[0.9999, 0.0000]
38,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2085.jpg,0,[0, 6],[0.9995, 0.0003]
39,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_822.jpg,0,[0, 9],[0.9999, 0.0001]
40,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6437.jpg,0,[0, 4],[1.0000, 0.0000]
41,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7742.jpg,0,[0, 6],[1.0000, 0.0000]
42,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6696.jpg,0,[0, 2],[1.0000, 0.0000]
43,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6660.jpg,0,[0, 8],[1.0000, 0.0000]
44,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7115.jpg,0,[0, 6],[1.0000, 0.0000]
45,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_499.jpg,0,[0, 6],[0.9992, 0.0007]
46,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2794.jpg,0,[0, 8],[1.0000, 0.0000]
47,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6933.jpg,0,[0, 5],[0.5019, 0.3014]
48,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7347.jpg,0,[0, 2],[0.9953, 0.0047]
49,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2877.jpg,0,[0, 8],[0.9999, 0.0001]
50,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3992.jpg,0,[0, 2],[1.0000, 0.0000]
51,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1197.jpg,0,[0, 2],[1.0000, 0.0000]
52,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6146.jpg,0,[0, 9],[0.9765, 0.0131]
53,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9822.jpg,0,[0, 4],[1.0000, 0.0000]
54,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3299.jpg,0,[4, 0],[0.7964, 0.1769]
55,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9695.jpg,0,[0, 5],[1.0000, 0.0000]
56,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4202.jpg,0,[0, 3],[1.0000, 0.0000]
57,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_946.jpg,0,[0, 2],[1.0000, 0.0000]
58,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6191.jpg,0,[0, 3],[1.0000, 0.0000]
59,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9590.jpg,0,[0, 4],[0.9753, 0.0232]
60,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6923.jpg,0,[0, 8],[1.0000, 0.0000]
61,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6408.jpg,0,[0, 8],[1.0000, 0.0000]
62,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9512.jpg,0,[0, 8],[1.0000, 0.0000]
63,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8638.jpg,0,[0, 8],[1.0000, 0.0000]
64,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4817.jpg,0,[0, 3],[1.0000, 0.0000]
65,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6676.jpg,0,[0, 3],[1.0000, 0.0000]
66,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_180.jpg,0,[0, 4],[0.9990, 0.0010]
67,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3660.jpg,0,[0, 2],[1.0000, 0.0000]
68,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1573.jpg,0,[0, 9],[1.0000, 0.0000]
69,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6284.jpg,0,[0, 2],[1.0000, 0.0000]
70,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2330.jpg,0,[0, 8],[1.0000, 0.0000]
71,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2951.jpg,0,[0, 9],[1.0000, 0.0000]
72,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8031.jpg,0,[0, 8],[1.0000, 0.0000]
73,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1651.jpg,0,[0, 2],[0.9955, 0.0045]
74,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5242.jpg,0,[0, 8],[1.0000, 0.0000]
75,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3.jpg,0,[0, 8],[1.0000, 0.0000]
76,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_526.jpg,0,[0, 8],[0.9693, 0.0200]
77,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_52.jpg,0,[0, 3],[0.9889, 0.0067]
78,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1076.jpg,0,[0, 9],[0.9625, 0.0344]
79,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3765.jpg,0,[0, 8],[1.0000, 0.0000]
80,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9633.jpg,0,[0, 3],[0.6650, 0.3294]
81,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7523.jpg,0,[0, 3],[1.0000, 0.0000]
82,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6400.jpg,0,[0, 8],[0.9996, 0.0002]
83,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4453.jpg,0,[0, 2],[0.9524, 0.0476]
84,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6824.jpg,0,[0, 2],[0.9905, 0.0095]
85,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8492.jpg,0,[0, 8],[0.9995, 0.0003]
86,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9802.jpg,0,[0, 6],[1.0000, 0.0000]
87,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1748.jpg,0,[0, 2],[1.0000, 0.0000]
88,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_398.jpg,0,[0, 9],[0.9997, 0.0003]
89,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3511.jpg,0,[0, 2],[1.0000, 0.0000]
90,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8262.jpg,0,[0, 3],[0.9574, 0.0400]
91,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3111.jpg,0,[0, 8],[1.0000, 0.0000]
92,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6494.jpg,0,[0, 3],[1.0000, 0.0000]
93,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4118.jpg,0,[0, 8],[1.0000, 0.0000]
94,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2979.jpg,0,[0, 2],[1.0000, 0.0000]
95,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6434.jpg,0,[8, 0],[0.9993, 0.0007]
96,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9561.jpg,0,[0, 9],[0.9999, 0.0001]
97,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1241.jpg,0,[0, 8],[0.9976, 0.0024]
98,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_689.jpg,0,[0, 3],[0.8974, 0.1017]
99,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2968.jpg,0,[0, 2],[0.9996, 0.0004]
100,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2532.jpg,0,[1, 9],[1.0000, 0.0000]
101,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2715.jpg,0,[0, 1],[1.0000, 0.0000]
102,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3955.jpg,0,[0, 8],[1.0000, 0.0000]
103,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2136.jpg,0,[1, 8],[0.4560, 0.3369]
104,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2973.jpg,0,[0, 9],[1.0000, 0.0000]
105,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3680.jpg,0,[0, 9],[0.9978, 0.0011]
106,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4217.jpg,0,[4, 5],[0.9985, 0.0008]
107,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9031.jpg,0,[0, 8],[1.0000, 0.0000]
108,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9921.jpg,0,[8, 0],[0.7875, 0.2073]
109,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_111.jpg,0,[0, 3],[1.0000, 0.0000]
110,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6641.jpg,0,[0, 1],[0.9997, 0.0003]
111,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5707.jpg,0,[0, 9],[1.0000, 0.0000]
112,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2113.jpg,0,[0, 2],[1.0000, 0.0000]
113,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7800.jpg,0,[0, 2],[1.0000, 0.0000]
114,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2264.jpg,0,[0, 6],[1.0000, 0.0000]
115,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6180.jpg,0,[0, 9],[0.9959, 0.0025]
116,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3024.jpg,0,[0, 2],[1.0000, 0.0000]
117,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1596.jpg,0,[0, 5],[1.0000, 0.0000]
118,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4040.jpg,0,[0, 2],[1.0000, 0.0000]
119,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_416.jpg,0,[0, 6],[1.0000, 0.0000]
120,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2697.jpg,0,[0, 9],[0.9949, 0.0041]
121,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2122.jpg,0,[0, 4],[1.0000, 0.0000]
122,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7465.jpg,0,[0, 8],[0.9996, 0.0004]
123,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2298.jpg,0,[0, 2],[0.9817, 0.0183]
124,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6618.jpg,0,[0, 6],[1.0000, 0.0000]
125,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4548.jpg,0,[0, 2],[0.6167, 0.3807]
126,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_912.jpg,0,[2, 0],[0.9997, 0.0002]
127,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2913.jpg,0,[0, 3],[1.0000, 0.0000]
128,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_44.jpg,0,[0, 8],[1.0000, 0.0000]
129,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6222.jpg,0,[0, 2],[0.9992, 0.0008]
130,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1932.jpg,0,[0, 8],[1.0000, 0.0000]
131,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_642.jpg,0,[0, 2],[0.9811, 0.0073]
132,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6091.jpg,0,[0, 4],[1.0000, 0.0000]
133,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2077.jpg,0,[0, 2],[1.0000, 0.0000]
134,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2302.jpg,0,[0, 2],[1.0000, 0.0000]
135,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1739.jpg,0,[0, 8],[0.8496, 0.0912]
136,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5585.jpg,0,[0, 3],[1.0000, 0.0000]
137,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4586.jpg,0,[0, 2],[0.9832, 0.0144]
138,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6588.jpg,0,[0, 8],[0.9945, 0.0054]
139,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8017.jpg,0,[0, 2],[1.0000, 0.0000]
140,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8073.jpg,0,[0, 8],[0.9975, 0.0024]
141,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5462.jpg,0,[0, 6],[1.0000, 0.0000]
142,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2589.jpg,0,[0, 2],[1.0000, 0.0000]
143,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_524.jpg,0,[0, 8],[1.0000, 0.0000]
144,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9857.jpg,0,[8, 0],[0.7632, 0.2185]
145,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4062.jpg,0,[0, 8],[0.9852, 0.0148]
146,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8769.jpg,0,[0, 8],[1.0000, 0.0000]
147,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1926.jpg,0,[0, 8],[1.0000, 0.0000]
148,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6729.jpg,0,[7, 6],[0.6166, 0.2658]
149,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8592.jpg,0,[0, 3],[1.0000, 0.0000]
150,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9208.jpg,0,[0, 2],[1.0000, 0.0000]
151,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6717.jpg,0,[0, 8],[1.0000, 0.0000]
152,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5995.jpg,0,[0, 2],[0.9999, 0.0001]
153,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8702.jpg,0,[0, 8],[0.9848, 0.0152]
154,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6006.jpg,0,[0, 7],[1.0000, 0.0000]
155,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4081.jpg,0,[0, 9],[0.9918, 0.0078]
156,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4802.jpg,0,[0, 2],[0.9999, 0.0001]
157,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4861.jpg,0,[0, 8],[0.9992, 0.0008]
158,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7861.jpg,0,[0, 9],[0.9836, 0.0164]
159,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4426.jpg,0,[0, 2],[1.0000, 0.0000]
160,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6885.jpg,0,[0, 4],[1.0000, 0.0000]
161,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5091.jpg,0,[0, 9],[1.0000, 0.0000]
162,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5021.jpg,0,[0, 2],[1.0000, 0.0000]
163,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7748.jpg,0,[0, 2],[1.0000, 0.0000]
164,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5454.jpg,0,[2, 0],[0.9420, 0.0580]
165,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9656.jpg,0,[0, 8],[0.9999, 0.0001]
166,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1744.jpg,0,[0, 8],[1.0000, 0.0000]
167,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2373.jpg,0,[0, 3],[1.0000, 0.0000]
168,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7018.jpg,0,[0, 8],[1.0000, 0.0000]
169,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2379.jpg,0,[0, 8],[0.9997, 0.0003]
170,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4666.jpg,0,[0, 8],[1.0000, 0.0000]
171,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5809.jpg,0,[0, 8],[0.9843, 0.0138]
172,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7356.jpg,0,[0, 2],[0.9989, 0.0011]
173,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5762.jpg,0,[0, 8],[0.9981, 0.0019]
174,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8483.jpg,0,[0, 2],[0.9998, 0.0002]
175,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7869.jpg,0,[7, 0],[0.7814, 0.2181]
176,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2341.jpg,0,[0, 2],[1.0000, 0.0000]
177,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9086.jpg,0,[0, 7],[0.9998, 0.0002]
178,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_169.jpg,0,[0, 8],[0.9407, 0.0553]
179,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1090.jpg,0,[8, 0],[0.9994, 0.0005]
180,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3425.jpg,0,[0, 4],[1.0000, 0.0000]
181,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8024.jpg,0,[0, 2],[1.0000, 0.0000]
182,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5543.jpg,0,[0, 2],[0.9988, 0.0012]
183,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5948.jpg,0,[0, 3],[1.0000, 0.0000]
184,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4216.jpg,0,[0, 2],[0.9968, 0.0032]
185,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6491.jpg,0,[0, 7],[0.9999, 0.0001]
186,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8977.jpg,0,[0, 9],[0.9953, 0.0046]
187,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4219.jpg,0,[0, 8],[0.9999, 0.0001]
188,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4113.jpg,0,[0, 6],[0.9999, 0.0001]
189,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_192.jpg,0,[0, 8],[0.9989, 0.0010]
190,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9904.jpg,0,[0, 9],[1.0000, 0.0000]
191,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_3048.jpg,0,[0, 6],[1.0000, 0.0000]
192,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8008.jpg,0,[0, 8],[1.0000, 0.0000]
193,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9577.jpg,0,[0, 3],[1.0000, 0.0000]
194,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8351.jpg,0,[0, 2],[0.9987, 0.0006]
195,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6775.jpg,0,[0, 2],[1.0000, 0.0000]
196,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5392.jpg,0,[0, 9],[1.0000, 0.0000]
197,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4180.jpg,0,[0, 8],[1.0000, 0.0000]
198,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_929.jpg,0,[0, 8],[1.0000, 0.0000]
199,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_7148.jpg,0,[0, 8],[1.0000, 0.0000]
200,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_1514.jpg,0,[0, 1],[0.9675, 0.0209]
201,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_8812.jpg,0,[0, 2],[1.0000, 0.0000]
202,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_5787.jpg,0,[0, 3],[1.0000, 0.0000]
203,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2388.jpg,0,[0, 3],[1.0000, 0.0000]
204,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_428.jpg,0,[8, 0],[0.5271, 0.3083]
205,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9957.jpg,0,[5, 0],[0.5226, 0.4679]
206,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_531.jpg,0,[4, 0],[0.9415, 0.0309]
207,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_9820.jpg,0,[1, 0],[0.9415, 0.0311]
208,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_4056.jpg,0,[0, 2],[1.0000, 0.0000]
209,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_2124.jpg,0,[0, 6],[1.0000, 0.0000]
210,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_841.jpg,0,[0, 8],[1.0000, 0.0000]
211,/home/amax/SIAT/Slim_Classification/Data-Cifar10/image/test/0/0_6549.jpg,0,[0, 8],[0.8901, 0.0659]
